sample	ERBB2_CNA	RSF1_CNA	ZNF703_CNA	MYC_CNA	RPS6KB1_CNA
TCGA-A8-A08G	0	0	1	0	1
TCGA-A8-A08H	0	0	0	0	0
TCGA-A8-A08J	1	0	0	1	1
TCGA-A8-A08L	0	0	0	0	0
TCGA-A8-A08O	0	0	0	0	0
TCGA-A8-A08P	0	0	0	0	0
TCGA-A8-A08T	0	0	1	1	0
TCGA-A8-A08X	1	0	0	1	0
TCGA-A8-A08Z	0	0	0	0	0
TCGA-A8-A090	0	0	1	0	0
TCGA-A8-A091	0	0	1	1	0
TCGA-A8-A092	0	0	0	1	0
TCGA-A8-A093	0	0	0	0	0
TCGA-A8-A094	0	0	0	0	0
TCGA-A8-A095	0	0	0	0	0
TCGA-A8-A096	0	0	0	0	0
TCGA-A8-A097	1	0	1	1	0
TCGA-A8-A099	0	0	0	0	0
TCGA-A8-A09A	0	0	1	0	1
TCGA-A8-A09B	0	0	0	0	0
TCGA-A8-A09D	0	0	0	1	0
TCGA-A8-A09E	1	0	0	0	0
TCGA-A8-A09G	1	0	0	0	1
TCGA-A8-A09I	1	1	0	1	1
TCGA-A8-A09M	0	0	0	1	0
TCGA-A8-A09N	0	0	0	0	0
TCGA-A8-A09Q	0	0	0	0	0
TCGA-A8-A09T	0	0	0	1	0
TCGA-A8-A09V	0	0	0	0	0
TCGA-A8-A09W	0	0	0	0	1
TCGA-A8-A09X	0	0	0	0	0
TCGA-A8-A09Z	0	0	0	0	0
TCGA-A8-A0A1	0	0	0	0	0
TCGA-A8-A0A4	0	0	0	0	0
TCGA-A8-A0A6	1	1	0	0	0
TCGA-A8-A0A7	1	0	0	1	0
TCGA-A8-A0A9	0	1	0	0	0
TCGA-A8-A0AB	0	0	0	0	0
TCGA-A8-A0AD	0	0	0	0	0
TCGA-AC-A23C	1	0	0	0	0
TCGA-AC-A23E	0	0	0	0	0
TCGA-AC-A2B8	0	0	0	0	0
TCGA-AC-A2QH	0	0	0	1	0
TCGA-AC-A2QI	0	0	0	0	0
TCGA-AC-A3HN	0	0	0	0	0
TCGA-AC-A3QP	0	0	0	0	0
TCGA-AC-A3TM	0	0	0	0	0
TCGA-AC-A3TN	0	0	0	0	0
TCGA-AC-A3W6	0	0	0	0	0
TCGA-AC-A3W7	0	0	0	0	0
TCGA-AC-A3YI	0	0	0	0	0
TCGA-AC-A3YJ	0	0	0	0	0
TCGA-AC-A5XS	0	0	0	0	0
TCGA-AC-A62Y	0	0	0	0	0
TCGA-AC-A6IV	0	0	0	0	1
TCGA-AC-A6IX	0	1	0	0	0
TCGA-AC-A7VC	0	0	0	0	0
TCGA-AN-A03X	0	1	0	0	0
TCGA-AN-A03Y	0	0	0	1	0
TCGA-AN-A041	1	0	0	1	1
TCGA-AN-A046	0	0	0	0	0
TCGA-AN-A049	1	0	0	0	0
TCGA-AN-A04A	0	0	0	1	1
TCGA-AN-A04C	0	0	0	1	0
TCGA-AN-A04D	0	0	0	0	0
TCGA-AN-A0AJ	0	0	0	1	1
TCGA-AN-A0AK	0	0	0	1	0
TCGA-AN-A0AL	0	0	0	0	0
TCGA-AN-A0AM	0	0	0	0	1
TCGA-AN-A0AR	0	1	0	0	0
TCGA-AN-A0AS	0	1	0	1	0
TCGA-AN-A0AT	0	0	0	0	0
TCGA-AN-A0FD	0	0	1	0	1
TCGA-AN-A0FF	0	0	0	0	0
TCGA-AN-A0FJ	0	0	0	1	0
TCGA-AN-A0FK	0	0	0	0	0
TCGA-AN-A0FL	0	0	0	1	0
TCGA-AN-A0FN	0	0	0	0	0
TCGA-AN-A0FS	0	0	0	0	0
TCGA-AN-A0FT	0	0	0	0	0
TCGA-AN-A0FV	0	1	0	0	0
TCGA-AN-A0FW	0	0	0	0	1
TCGA-AN-A0FX	0	0	1	1	0
TCGA-AN-A0FY	0	0	0	1	0
TCGA-AN-A0FZ	0	1	0	1	0
TCGA-AN-A0XN	0	0	1	1	0
TCGA-AN-A0XO	0	0	0	0	0
TCGA-AN-A0XP	0	0	0	0	0
TCGA-AN-A0XR	0	0	0	0	1
TCGA-AN-A0XS	0	0	0	1	0
TCGA-AN-A0XT	0	0	0	0	0
TCGA-AN-A0XU	0	0	0	1	0
TCGA-AN-A0XV	0	0	0	0	0
TCGA-AN-A0XW	0	1	0	0	1
TCGA-AO-A03R	0	0	1	1	0
TCGA-AO-A03T	0	0	0	1	0
TCGA-AO-A03V	0	0	0	0	0
TCGA-AO-A0J2	0	0	0	0	0
TCGA-AO-A0J3	0	0	1	0	1
TCGA-AO-A0J5	0	0	0	0	1
TCGA-AO-A0J6	0	0	0	0	0
TCGA-AO-A0J7	0	0	0	0	0
TCGA-AO-A0J8	0	0	0	0	0
TCGA-AO-A0J9	0	0	0	0	0
TCGA-AO-A0JB	0	0	0	1	0
TCGA-AO-A0JC	0	0	0	0	0
TCGA-AO-A0JD	0	0	0	0	0
TCGA-AO-A0JF	0	0	0	0	0
TCGA-AO-A0JG	0	0	0	0	1
TCGA-AO-A0JI	0	0	1	0	0
TCGA-AO-A0JJ	0	0	0	0	0
TCGA-AO-A124	0	0	0	0	1
TCGA-AO-A128	0	0	1	1	0
TCGA-AO-A12A	0	0	0	0	0
TCGA-AO-A12D	1	0	0	1	0
TCGA-AO-A12F	0	0	0	0	0
TCGA-AO-A1KO	0	0	0	0	0
TCGA-AO-A1KP	0	0	1	0	0
TCGA-AO-A1KR	0	0	0	1	0
TCGA-AO-A1KS	0	0	0	1	0
TCGA-AO-A1KT	0	1	1	0	0
TCGA-AQ-A04H	1	0	0	0	0
TCGA-AQ-A04J	0	0	0	0	0
TCGA-AQ-A0Y5	1	0	0	0	1
TCGA-AQ-A1H2	0	1	0	0	0
TCGA-AQ-A1H3	0	0	0	0	0
TCGA-AQ-A7U7	0	0	0	0	0
TCGA-AR-A0TP	0	0	0	0	0
TCGA-AR-A0TQ	1	0	0	0	1
TCGA-AR-A0TR	0	0	0	0	0
TCGA-AR-A0TS	0	0	0	1	0
TCGA-AR-A0TV	0	1	0	1	0
TCGA-AR-A0TW	0	0	0	0	1
TCGA-AR-A0TX	1	0	0	0	0
TCGA-AR-A0TY	0	0	0	1	1
TCGA-AR-A0TZ	0	0	0	0	0
TCGA-AR-A0U0	0	0	0	1	0
TCGA-AR-A0U2	0	1	1	1	0
TCGA-AR-A0U3	0	0	1	1	0
TCGA-AR-A1AH	0	0	0	0	0
TCGA-AR-A1AI	0	0	0	0	0
TCGA-AR-A1AK	0	0	0	0	0
TCGA-AR-A1AL	0	0	0	0	0
TCGA-AR-A1AM	0	0	0	0	0
TCGA-AR-A1AN	0	0	0	0	0
TCGA-AR-A1AO	0	0	0	0	0
TCGA-AR-A1AP	0	1	0	0	0
TCGA-AR-A1AQ	0	0	0	0	0
TCGA-AR-A1AR	0	0	1	0	0
TCGA-AR-A1AU	0	1	0	0	0
TCGA-AR-A1AV	0	0	0	0	0
TCGA-AR-A1AW	0	0	0	1	0
TCGA-AR-A1AX	1	0	0	1	0
TCGA-AR-A1AY	0	0	0	1	0
TCGA-AR-A24H	1	0	0	1	1
TCGA-AR-A24K	0	0	0	1	0
TCGA-AR-A24L	0	0	0	0	1
TCGA-AR-A24M	0	0	0	0	0
TCGA-AR-A24N	0	0	0	1	0
TCGA-AR-A24O	0	0	0	0	0
TCGA-AR-A24P	0	0	0	0	0
TCGA-AR-A24Q	0	0	0	1	0
TCGA-AR-A24R	0	1	0	0	1
TCGA-AR-A24S	0	0	0	1	0
TCGA-AR-A24U	1	0	0	1	0
TCGA-AR-A24V	1	0	1	1	1
TCGA-AR-A24W	0	0	0	0	0
TCGA-AR-A24X	0	0	0	0	0
TCGA-AR-A24Z	0	0	0	0	0
TCGA-AR-A250	1	1	1	0	1
TCGA-AR-A251	0	0	0	1	0
TCGA-AR-A252	0	0	0	0	1
TCGA-AR-A254	0	0	0	1	0
TCGA-AR-A255	0	0	0	1	0
TCGA-AR-A256	0	0	1	1	0
TCGA-AR-A2LE	0	0	0	0	0
TCGA-AR-A2LH	0	0	0	0	0
TCGA-AR-A2LJ	1	1	0	0	0
TCGA-AR-A2LK	0	0	0	1	0
TCGA-AR-A2LL	0	0	0	1	0
TCGA-AR-A2LM	0	0	0	0	0
TCGA-AR-A2LN	0	0	0	0	0
TCGA-AR-A2LO	0	0	0	0	0
TCGA-AR-A2LQ	0	0	0	0	0
TCGA-AR-A2LR	0	0	0	1	0
TCGA-AR-A5QM	0	0	0	0	0
TCGA-AR-A5QN	0	0	1	0	0
TCGA-AR-A5QP	0	0	0	0	0
TCGA-AR-A5QQ	0	0	0	0	0
TCGA-B6-A0I2	0	1	0	1	0
TCGA-B6-A0I5	0	0	0	0	0
TCGA-B6-A0IA	0	0	0	0	0
TCGA-B6-A0IB	0	0	0	0	0
TCGA-B6-A0IC	0	0	0	0	0
TCGA-B6-A0IH	0	0	0	0	0
TCGA-B6-A0IK	0	0	0	1	1
TCGA-B6-A0IN	1	0	0	0	0
TCGA-B6-A0RG	0	0	1	0	0
TCGA-B6-A0RI	0	0	0	0	0
TCGA-B6-A0RN	0	0	0	0	0
TCGA-B6-A0RO	0	0	0	0	0
TCGA-B6-A0RP	0	0	0	0	0
TCGA-B6-A0RS	0	0	0	0	0
TCGA-B6-A0RT	0	0	0	0	0
TCGA-B6-A0RU	0	0	0	1	0
TCGA-B6-A0RV	0	0	1	0	1
TCGA-B6-A0WT	0	0	1	0	0
TCGA-B6-A0WV	0	0	0	0	0
TCGA-B6-A0WY	0	0	1	1	0
TCGA-B6-A0X0	0	0	0	0	0
TCGA-B6-A0X1	0	0	0	0	0
TCGA-B6-A0X4	0	0	0	0	0
TCGA-B6-A1KC	0	0	0	1	0
TCGA-B6-A1KF	0	0	0	1	0
TCGA-B6-A1KI	0	0	0	0	0
TCGA-B6-A1KN	0	0	1	1	0
TCGA-B6-A40B	0	0	0	0	0
TCGA-B6-A40C	0	0	0	0	0
TCGA-BH-A0AW	1	0	0	0	1
TCGA-BH-A0AY	0	0	1	1	0
TCGA-BH-A0B3	0	0	0	0	0
TCGA-BH-A0B4	0	0	0	1	1
TCGA-BH-A0B6	0	0	0	0	0
TCGA-BH-A0B7	1	0	0	1	0
TCGA-BH-A0B9	0	0	0	0	0
TCGA-BH-A0BA	0	0	0	0	0
TCGA-BH-A0BC	0	1	0	0	0
TCGA-BH-A0BD	0	1	0	0	0
TCGA-BH-A0BG	0	0	0	1	0
TCGA-BH-A0BJ	0	0	0	0	0
TCGA-BH-A0BL	0	0	0	0	0
TCGA-BH-A0BM	0	0	0	0	0
TCGA-BH-A0BO	0	0	0	0	0
TCGA-BH-A0BP	0	0	0	1	0
TCGA-BH-A0BQ	0	0	0	0	0
TCGA-BH-A0BV	0	0	0	0	0
TCGA-BH-A0C0	0	0	0	1	1
TCGA-BH-A0C1	0	0	0	0	0
TCGA-BH-A0C7	1	0	0	0	1
TCGA-BH-A0DE	0	0	0	0	0
TCGA-BH-A0DH	0	0	0	0	0
TCGA-BH-A0DK	0	0	0	0	1
TCGA-BH-A0DL	0	0	0	1	0
TCGA-BH-A0DP	0	0	0	0	0
TCGA-BH-A0DQ	0	0	0	0	0
TCGA-BH-A0DS	0	0	1	1	0
TCGA-BH-A0DX	0	0	0	0	0
TCGA-BH-A0DZ	1	0	0	0	1
TCGA-BH-A0E0	0	1	0	0	0
TCGA-BH-A0E1	0	0	0	0	0
TCGA-BH-A0E7	0	0	0	0	0
TCGA-BH-A0E9	0	0	0	0	0
TCGA-BH-A0EA	0	0	0	0	0
TCGA-BH-A0EB	0	0	0	0	0
TCGA-BH-A0EE	1	0	0	0	0
TCGA-BH-A0EI	0	0	1	0	0
TCGA-BH-A0GY	0	0	1	1	0
TCGA-BH-A0GZ	0	1	0	0	0
TCGA-BH-A0H0	0	0	0	0	0
TCGA-BH-A0H5	0	0	0	0	0
TCGA-BH-A0H6	0	0	1	1	0
TCGA-BH-A0H7	0	0	1	1	0
TCGA-BH-A0H9	0	0	0	1	0
TCGA-BH-A0HB	0	0	0	0	1
TCGA-BH-A0HI	0	0	0	0	0
TCGA-BH-A0HK	0	0	0	0	0
TCGA-BH-A0HO	0	0	0	0	0
TCGA-BH-A0HP	0	0	0	0	0
TCGA-BH-A0HQ	0	0	0	0	0
TCGA-BH-A0HU	0	0	0	0	0
TCGA-BH-A0HX	0	0	1	1	1
TCGA-BH-A0HY	1	1	1	0	1
TCGA-BH-A0W4	0	0	0	0	0
TCGA-BH-A0W5	0	0	0	0	0
TCGA-BH-A0W7	0	0	0	0	0
TCGA-BH-A0WA	0	0	0	1	0
TCGA-BH-A18G	0	0	0	0	1
TCGA-BH-A18H	0	0	0	0	0
TCGA-BH-A18I	0	0	0	0	0
TCGA-BH-A201	0	1	1	0	0
TCGA-BH-A202	1	0	0	1	0
TCGA-BH-A28O	0	0	0	0	0
TCGA-BH-A28Q	0	0	0	0	0
TCGA-BH-A2L8	0	0	0	0	0
TCGA-BH-A6R9	0	0	0	0	0
TCGA-BH-A8FZ	0	0	0	0	0
TCGA-BH-A8G0	0	0	0	0	0
TCGA-D8-A13Y	0	0	0	0	0
TCGA-D8-A13Z	0	0	1	0	0
TCGA-D8-A140	1	0	0	0	1
TCGA-D8-A141	0	0	0	0	0
TCGA-D8-A142	0	0	0	0	0
TCGA-D8-A143	0	0	0	0	0
TCGA-D8-A145	0	0	0	0	0
TCGA-D8-A146	0	0	0	0	0
TCGA-D8-A147	0	0	0	0	0
TCGA-D8-A1J8	0	0	0	0	0
TCGA-D8-A1J9	0	0	0	0	0
TCGA-D8-A1JA	1	0	0	0	0
TCGA-D8-A1JB	0	0	0	0	0
TCGA-D8-A1JC	0	1	1	1	0
TCGA-D8-A1JD	0	0	0	1	0
TCGA-D8-A1JE	0	0	0	0	0
TCGA-D8-A1JF	0	0	1	1	0
TCGA-D8-A1JG	0	0	0	1	0
TCGA-D8-A1JH	0	0	0	0	0
TCGA-D8-A1JI	0	0	0	0	0
TCGA-D8-A1JJ	0	0	0	0	1
TCGA-D8-A1JK	0	0	0	0	0
TCGA-D8-A1JL	0	0	0	0	0
TCGA-D8-A1JM	0	0	0	1	0
TCGA-D8-A1JN	0	0	0	0	0
TCGA-D8-A1JP	0	0	0	1	0
TCGA-D8-A1JS	0	0	0	0	0
TCGA-D8-A1JT	0	0	0	1	0
TCGA-D8-A1JU	0	0	0	0	0
TCGA-D8-A1X5	0	1	0	1	0
TCGA-D8-A1X6	0	0	1	1	0
TCGA-D8-A1X7	0	0	0	0	0
TCGA-D8-A1X8	0	0	0	0	0
TCGA-D8-A1X9	0	0	0	0	1
TCGA-D8-A1XA	0	0	0	0	0
TCGA-D8-A1XB	0	0	0	0	0
TCGA-D8-A1XC	0	0	0	0	0
TCGA-D8-A1XF	0	1	1	1	0
TCGA-D8-A1XG	0	0	0	0	0
TCGA-D8-A1XJ	0	0	0	0	0
TCGA-D8-A1XK	0	0	0	0	0
TCGA-D8-A1XL	0	0	0	1	0
TCGA-D8-A1XM	0	0	0	0	0
TCGA-D8-A1XO	0	0	0	0	0
TCGA-D8-A1XQ	0	0	0	1	1
TCGA-D8-A1XR	0	0	0	0	0
TCGA-D8-A1XS	0	0	0	1	0
TCGA-D8-A1XT	1	0	1	0	0
TCGA-D8-A1XU	0	0	0	0	0
TCGA-D8-A1XV	0	0	0	0	0
TCGA-D8-A1XW	0	0	0	1	0
TCGA-D8-A1XY	1	0	0	0	1
TCGA-D8-A1XZ	0	0	0	1	0
TCGA-D8-A1Y0	0	0	0	0	0
TCGA-D8-A1Y1	0	0	1	1	0
TCGA-D8-A1Y2	0	0	1	1	0
TCGA-D8-A1Y3	0	0	1	1	0
TCGA-D8-A27E	0	0	0	0	0
TCGA-D8-A27F	0	0	0	0	0
TCGA-D8-A27G	0	1	0	0	1
TCGA-D8-A27I	0	0	0	0	0
TCGA-D8-A27K	0	0	0	0	0
TCGA-D8-A27L	0	0	0	0	0
TCGA-D8-A27M	0	0	0	1	0
TCGA-D8-A27N	1	0	0	1	1
TCGA-D8-A27P	0	0	0	0	0
TCGA-D8-A27R	0	0	1	1	0
TCGA-D8-A27T	1	0	0	0	0
TCGA-D8-A27V	0	0	0	0	1
TCGA-D8-A27W	1	0	1	1	1
TCGA-D8-A3Z5	0	0	0	0	0
TCGA-D8-A3Z6	0	0	0	0	0
TCGA-D8-A4Z1	0	0	1	1	0
TCGA-D8-A73U	0	0	0	0	0
TCGA-D8-A73W	0	0	0	0	0
TCGA-D8-A73X	0	0	0	0	0
TCGA-E2-A10C	0	0	1	1	0
TCGA-E2-A14N	0	0	0	1	0
TCGA-E2-A14O	0	0	0	0	0
TCGA-E2-A14P	1	0	0	0	1
TCGA-E2-A14Q	0	0	0	0	0
TCGA-E2-A14R	0	1	0	1	0
TCGA-E2-A14T	0	0	0	1	1
TCGA-E2-A14U	0	0	0	0	0
TCGA-E2-A14V	1	0	0	0	1
TCGA-E2-A14W	0	0	0	0	1
TCGA-E2-A14Y	0	0	0	1	0
TCGA-E2-A14Z	0	0	0	1	0
TCGA-E2-A150	0	0	0	1	0
TCGA-E2-A152	0	0	0	0	0
TCGA-E2-A154	0	0	0	0	0
TCGA-E2-A155	0	1	0	0	1
TCGA-E2-A156	0	0	0	0	0
TCGA-E2-A158	0	0	0	0	0
TCGA-E2-A15A	0	1	1	1	0
TCGA-E2-A15C	0	0	0	0	0
TCGA-E2-A15D	0	0	0	0	0
TCGA-E2-A15E	1	0	0	1	0
TCGA-E2-A15G	0	0	0	0	0
TCGA-E2-A15H	1	0	0	1	1
TCGA-E2-A15J	0	0	0	0	0
TCGA-E2-A15K	0	0	0	0	0
TCGA-E2-A15M	0	0	0	0	0
TCGA-E2-A15P	0	0	0	0	0
TCGA-E2-A15R	0	0	1	0	0
TCGA-E2-A15S	0	0	1	1	1
TCGA-E2-A15T	0	0	0	0	0
TCGA-E2-A1B0	1	0	1	1	0
TCGA-E2-A1B1	1	0	0	0	1
TCGA-E2-A1B4	0	0	0	0	0
TCGA-E2-A1B5	0	0	0	0	1
TCGA-E2-A1B6	0	0	0	0	0
TCGA-E2-A1BC	0	0	0	0	0
TCGA-E2-A1BD	0	0	0	0	0
TCGA-E2-A1IE	0	0	1	0	0
TCGA-E2-A1IF	0	0	0	0	0
TCGA-E2-A1IG	0	0	1	0	0
TCGA-E2-A1IH	0	0	1	0	0
TCGA-E2-A1II	0	0	0	1	0
TCGA-E2-A1IJ	0	0	0	0	0
TCGA-E2-A1IK	0	0	0	0	0
TCGA-E2-A1IL	0	0	0	0	0
TCGA-E2-A1IN	0	0	1	1	0
TCGA-E2-A1IO	0	0	0	0	0
TCGA-E2-A1L6	0	0	0	0	0
TCGA-E2-A1L7	0	0	0	1	0
TCGA-E2-A1L9	0	0	0	0	0
TCGA-E2-A3DX	0	0	0	0	0
TCGA-E9-A1N3	0	0	0	0	0
TCGA-E9-A1N4	0	0	0	0	0
TCGA-E9-A1N5	0	0	0	0	0
TCGA-E9-A1N8	0	1	0	0	0
TCGA-E9-A1N9	0	0	0	1	0
TCGA-E9-A1NA	0	1	0	1	1
TCGA-E9-A1NC	0	0	0	0	0
TCGA-E9-A1ND	0	0	0	0	0
TCGA-E9-A1NE	0	0	0	0	0
TCGA-E9-A1NF	0	0	0	0	0
TCGA-E9-A1NG	0	0	0	0	0
TCGA-E9-A1NI	0	0	0	1	1
TCGA-E9-A1QZ	0	1	0	0	0
TCGA-E9-A1R0	0	0	0	0	0
TCGA-E9-A1R2	0	0	1	1	0
TCGA-E9-A1R3	0	0	0	0	0
TCGA-E9-A1R4	0	0	0	1	0
TCGA-E9-A1R5	0	0	0	0	0
TCGA-E9-A1R6	0	0	0	0	0
TCGA-E9-A1R7	0	0	0	0	0
TCGA-E9-A1RA	0	0	0	0	0
TCGA-E9-A1RB	0	0	1	1	0
TCGA-E9-A1RC	0	0	1	1	0
TCGA-E9-A1RD	0	0	0	0	0
TCGA-E9-A1RE	0	0	1	1	0
TCGA-E9-A1RF	0	0	0	0	1
TCGA-E9-A1RG	0	0	0	0	0
TCGA-E9-A1RH	0	0	0	1	0
TCGA-E9-A1RI	0	0	0	0	1
TCGA-E9-A226	0	0	0	0	0
TCGA-E9-A227	0	0	0	0	0
TCGA-E9-A228	1	1	1	0	1
TCGA-E9-A229	0	0	0	0	0
TCGA-E9-A22A	0	0	1	1	1
TCGA-E9-A22B	0	0	1	1	1
TCGA-E9-A22D	1	0	0	0	1
TCGA-E9-A22E	0	0	0	1	0
TCGA-E9-A22G	0	0	0	0	0
TCGA-E9-A22H	0	0	0	0	0
TCGA-E9-A243	0	0	0	1	1
TCGA-E9-A244	0	0	0	1	0
TCGA-E9-A245	0	0	0	0	0
TCGA-E9-A247	0	1	1	0	0
TCGA-E9-A248	0	0	0	1	0
TCGA-E9-A249	0	0	0	0	0
TCGA-E9-A24A	0	0	0	0	0
TCGA-E9-A295	0	0	1	1	0
TCGA-E9-A2JS	0	1	1	1	1
TCGA-E9-A2JT	0	0	0	0	0
TCGA-E9-A3HO	0	0	0	0	0
TCGA-E9-A3Q9	0	0	0	0	0
TCGA-E9-A3QA	0	0	0	1	0
TCGA-E9-A3X8	0	0	0	0	0
TCGA-E9-A54X	0	0	0	0	0
TCGA-E9-A54Y	0	0	0	1	0
TCGA-E9-A5FL	0	0	0	1	0
TCGA-E9-A5UO	0	0	0	0	0
TCGA-E9-A5UP	1	0	1	1	1
